Time_of_Breach,Breach_Type,Attack_Vector,Vulnerability_Type,Targeted_System,Data_Exfiltrated,Attack_Successful,Attack_Duration_Hours,Damage_Cost_Dollars,Incident_Response_Time_Minutes,User_Notified,Legal_Action_Taken,Cyber_Hacked
14,Phishing,Physical,Zero-day,Server,False,False,25,652655,55,False,True,True
23,Phishing,Insider,Known,IoT,True,False,12,982457,19,True,False,True
8,SQL Injection,Web,Known,Desktop,False,False,25,217276,20,False,True,False
21,Malware,Physical,Misconfiguration,Desktop,False,False,26,857475,145,True,False,False
16,SQL Injection,Email,Known,IoT,True,False,36,649350,59,False,True,False
13,Phishing,Insider,Zero-day,IoT,False,False,16,247670,89,False,True,False
18,Data Leak,Web,Misconfiguration,Desktop,False,True,14,297891,203,False,False,False
15,Phishing,Physical,Known,Server,True,True,46,847816,126,True,False,False
21,Data Leak,Web,Zero-day,IoT,False,True,34,842317,121,True,False,False
13,Data Leak,Email,Known,Mobile,True,False,24,922046,190,True,False,True
9,Data Leak,Physical,Known,Desktop,False,True,8,998199,166,True,True,False
15,Data Leak,Web,Known,Desktop,True,False,27,48575,124,True,True,True
13,Malware,Network,Known,IoT,False,True,39,240508,62,True,False,True
1,Phishing,Physical,Zero-day,IoT,True,False,13,135253,168,True,True,False
7,SQL Injection,Physical,Known,Mobile,False,True,29,710383,191,False,False,False
9,Data Leak,Physical,Misconfiguration,Mobile,False,True,31,663313,232,False,False,False
1,Data Leak,Physical,Misconfiguration,Mobile,True,True,43,615842,230,False,False,True
12,SQL Injection,Network,Known,Mobile,True,True,19,15800,197,False,True,True
8,SQL Injection,Email,Misconfiguration,Desktop,True,False,10,560949,146,True,True,True
11,Data Leak,Network,Known,IoT,False,False,43,935803,63,False,True,True
19,SQL Injection,Network,Zero-day,Server,True,False,40,48711,216,True,False,False
17,SQL Injection,Web,Zero-day,IoT,False,True,34,37412,112,True,False,False
8,Malware,Insider,Misconfiguration,IoT,True,False,46,410226,58,False,True,True
3,SQL Injection,Insider,Misconfiguration,Mobile,False,False,43,163533,43,False,True,False
3,Phishing,Web,Known,Mobile,False,True,1,34311,40,True,True,False
1,Phishing,Network,Known,Desktop,True,True,19,407403,225,False,True,False
5,Phishing,Web,Known,Mobile,False,True,1,376708,227,False,False,False
10,Data Leak,Physical,Zero-day,Desktop,True,True,24,804460,225,True,False,False
7,Phishing,Web,Known,IoT,True,False,25,112850,141,False,False,True
9,Malware,Web,Zero-day,IoT,True,True,4,606003,75,True,False,True
7,Phishing,Physical,Misconfiguration,IoT,False,False,24,551634,54,False,True,False
9,Data Leak,Insider,Zero-day,Desktop,False,True,39,918233,116,True,False,True
8,Malware,Physical,Misconfiguration,Desktop,False,True,20,307982,33,False,False,False
12,Phishing,Email,Zero-day,Desktop,False,True,33,201440,224,False,True,True
2,Malware,Web,Zero-day,Mobile,True,True,28,287742,156,True,False,True
1,Malware,Web,Known,Server,False,False,43,589512,49,False,True,True
16,Data Leak,Insider,Misconfiguration,Mobile,True,True,45,427127,96,True,False,True
23,Data Leak,Network,Zero-day,Server,False,True,35,912665,106,False,True,False
23,Malware,Physical,Zero-day,Mobile,False,False,24,306643,161,False,False,False
5,Phishing,Network,Misconfiguration,IoT,False,True,40,850290,103,True,True,False
3,Data Leak,Email,Zero-day,Desktop,False,False,44,54831,93,True,False,True
12,Malware,Physical,Misconfiguration,Mobile,True,False,2,463048,127,True,True,True
8,SQL Injection,Email,Misconfiguration,Desktop,False,False,23,591895,145,True,True,False
22,SQL Injection,Email,Misconfiguration,Mobile,True,True,33,568841,101,True,True,False
3,Data Leak,Email,Zero-day,IoT,True,False,14,73084,192,True,True,True
1,Phishing,Physical,Zero-day,Desktop,False,True,15,220901,154,True,False,False
3,SQL Injection,Physical,Known,IoT,False,False,32,277030,110,False,True,False
5,SQL Injection,Insider,Misconfiguration,Server,True,False,23,948301,196,False,False,True
15,SQL Injection,Web,Zero-day,Desktop,False,True,4,657912,106,False,False,False
14,Phishing,Network,Zero-day,Mobile,False,False,20,857304,207,True,True,False
3,Phishing,Network,Misconfiguration,Desktop,True,True,31,209161,152,True,False,True
1,Data Leak,Email,Misconfiguration,Server,False,False,7,321767,128,False,False,True
5,Data Leak,Physical,Misconfiguration,Server,False,True,1,494490,41,True,True,False
23,SQL Injection,Physical,Known,Mobile,False,True,5,666960,90,False,False,False
14,Phishing,Email,Known,IoT,True,False,14,728106,114,True,False,True
7,Malware,Web,Known,Desktop,True,False,30,683263,111,True,True,True
9,SQL Injection,Network,Misconfiguration,IoT,True,True,38,751997,82,True,False,True
15,Data Leak,Insider,Zero-day,IoT,False,False,23,726769,163,True,False,False
15,Phishing,Web,Misconfiguration,Mobile,False,True,7,133100,162,False,False,True
10,Data Leak,Physical,Zero-day,Desktop,True,False,44,458246,128,True,True,True
13,Data Leak,Email,Known,Server,False,True,39,520319,159,False,True,True
19,Phishing,Network,Known,Mobile,True,True,16,938965,130,True,True,True
7,SQL Injection,Email,Known,IoT,True,False,9,538866,60,True,False,False
17,Phishing,Physical,Zero-day,Server,False,True,39,519706,176,False,True,True
20,SQL Injection,Email,Zero-day,IoT,True,True,46,269022,92,False,True,True
4,Data Leak,Network,Misconfiguration,Desktop,False,False,34,331061,24,True,True,False
5,Phishing,Email,Misconfiguration,IoT,False,False,31,162773,135,False,False,True
23,Malware,Network,Misconfiguration,Server,False,True,45,125547,162,True,False,False
7,SQL Injection,Email,Known,Desktop,True,False,7,377967,206,False,True,False
13,Malware,Email,Misconfiguration,Mobile,False,True,2,71150,204,True,True,False
15,SQL Injection,Network,Known,IoT,False,True,6,156106,221,True,False,True
11,Phishing,Email,Zero-day,Desktop,False,False,44,261214,181,True,True,False
4,Malware,Web,Known,Desktop,False,False,34,20743,233,True,True,True
13,Phishing,Insider,Known,Mobile,True,False,17,582973,76,False,False,False
7,SQL Injection,Web,Known,Mobile,True,True,26,831957,93,False,False,True
19,SQL Injection,Insider,Zero-day,Server,False,False,12,227282,225,True,False,False
22,SQL Injection,Web,Zero-day,Desktop,False,True,20,103105,104,False,False,False
2,SQL Injection,Insider,Misconfiguration,Desktop,True,False,41,646746,154,True,True,False
10,Data Leak,Email,Misconfiguration,Server,False,True,46,64651,38,False,True,False
13,SQL Injection,Network,Misconfiguration,IoT,False,True,35,173316,67,False,False,False
21,Malware,Network,Zero-day,Desktop,True,False,35,354219,47,True,True,True
6,SQL Injection,Physical,Zero-day,Desktop,True,True,29,860358,83,False,False,False
12,Phishing,Insider,Zero-day,IoT,False,True,38,682557,87,False,False,False
12,Data Leak,Physical,Zero-day,Mobile,True,True,31,297636,118,False,False,True
20,Malware,Physical,Zero-day,Mobile,True,False,40,468320,220,False,False,True
11,Data Leak,Insider,Known,Mobile,False,True,13,984092,188,True,False,True
23,Data Leak,Network,Misconfiguration,Server,False,False,26,410927,114,True,False,False
7,Data Leak,Insider,Known,IoT,True,True,22,77116,103,False,True,True
1,Phishing,Email,Misconfiguration,Mobile,False,True,8,984678,21,True,False,False
1,Data Leak,Physical,Known,Server,False,False,40,98967,112,True,False,False
20,Data Leak,Physical,Zero-day,IoT,True,True,7,663645,185,False,False,True
13,SQL Injection,Insider,Misconfiguration,Mobile,False,True,5,307357,21,True,False,False
9,Phishing,Physical,Known,Desktop,True,True,1,154155,109,False,False,False
3,Malware,Network,Misconfiguration,Desktop,True,False,45,549329,130,True,False,True
7,Malware,Physical,Zero-day,Mobile,False,False,40,153057,75,True,False,False
6,Malware,Insider,Zero-day,Mobile,True,False,11,229676,46,False,True,True
8,Phishing,Network,Misconfiguration,Server,False,True,32,620199,227,False,True,False
9,Malware,Network,Misconfiguration,Desktop,False,False,7,229545,73,True,True,True
5,Phishing,Physical,Zero-day,IoT,False,True,29,392345,93,True,False,False
1,SQL Injection,Insider,Zero-day,Mobile,False,True,30,284591,44,True,True,True
19,SQL Injection,Physical,Zero-day,IoT,True,True,21,615958,18,True,False,False
10,Phishing,Email,Known,Mobile,False,False,39,299947,48,True,False,False
12,Malware,Email,Misconfiguration,Desktop,True,False,44,75636,151,True,False,True
15,Phishing,Network,Zero-day,Mobile,False,False,43,941685,74,False,True,False
22,Phishing,Physical,Misconfiguration,IoT,False,True,41,842115,218,True,False,False
9,Data Leak,Email,Known,Desktop,True,False,39,505741,236,True,False,True
20,Phishing,Web,Known,Mobile,True,False,20,645699,166,False,False,True
17,Data Leak,Email,Zero-day,Desktop,False,True,22,454644,129,True,False,False
17,SQL Injection,Physical,Misconfiguration,Server,True,False,29,427260,197,False,True,False
20,Data Leak,Physical,Known,IoT,True,False,46,515486,43,True,True,False
12,Phishing,Email,Misconfiguration,Mobile,True,False,4,305165,68,True,False,False
7,SQL Injection,Physical,Misconfiguration,Mobile,False,False,3,319259,193,False,False,False
2,Data Leak,Physical,Zero-day,Mobile,False,False,9,609025,135,True,True,True
3,Phishing,Web,Known,IoT,False,False,5,472000,36,False,False,True
17,SQL Injection,Network,Known,Server,True,True,3,39677,34,True,False,False
5,Data Leak,Physical,Known,IoT,False,True,25,214426,51,False,False,True
17,Phishing,Insider,Misconfiguration,Mobile,False,True,32,885467,142,True,False,False
17,Phishing,Network,Known,IoT,True,False,33,116955,65,True,False,False
17,Malware,Network,Known,Mobile,False,False,18,141103,87,True,False,True
2,Malware,Insider,Misconfiguration,IoT,False,True,45,139788,131,True,False,True
2,Data Leak,Email,Known,Desktop,False,True,36,827087,228,True,True,False
22,Data Leak,Web,Known,IoT,True,False,41,194708,192,False,True,True
23,Data Leak,Physical,Misconfiguration,Mobile,True,False,29,933090,222,True,True,True
5,Phishing,Email,Known,Mobile,False,False,39,554591,80,False,False,True
1,Data Leak,Insider,Zero-day,IoT,False,False,47,305469,76,False,True,True
1,Phishing,Web,Misconfiguration,IoT,True,False,45,433972,58,False,True,False
19,Data Leak,Web,Known,Desktop,True,False,2,695180,128,False,False,True
2,Phishing,Web,Zero-day,Server,True,True,11,431093,37,False,True,False
21,Phishing,Insider,Misconfiguration,Server,False,True,31,998649,107,True,False,True
12,Malware,Email,Known,Desktop,False,False,4,548822,25,True,False,True
6,SQL Injection,Physical,Misconfiguration,Server,True,True,29,81224,196,True,True,True
23,Phishing,Web,Zero-day,Server,True,True,3,591982,197,False,True,True
4,Data Leak,Web,Misconfiguration,Mobile,False,False,2,507825,75,False,True,False
23,Malware,Email,Known,Mobile,True,True,44,682659,194,False,False,True
11,Data Leak,Web,Zero-day,Mobile,False,False,36,523681,137,False,True,False
17,Data Leak,Web,Misconfiguration,IoT,True,False,14,242629,36,False,True,True
6,Phishing,Insider,Known,IoT,False,True,4,874850,17,False,False,False
5,Phishing,Network,Known,Server,True,True,44,575006,218,False,False,False
20,SQL Injection,Email,Zero-day,IoT,False,True,30,841481,79,False,False,False
2,Phishing,Email,Zero-day,Mobile,True,False,19,967782,200,True,True,False
6,Phishing,Email,Misconfiguration,IoT,False,False,19,579554,185,True,True,False
22,SQL Injection,Insider,Known,Server,False,False,44,727951,104,False,False,False
11,Data Leak,Insider,Zero-day,Mobile,False,False,31,903987,75,False,True,False
16,SQL Injection,Physical,Known,Server,True,True,15,561739,107,False,False,False
16,SQL Injection,Insider,Misconfiguration,IoT,False,True,29,261916,67,True,False,True
1,SQL Injection,Email,Zero-day,Desktop,False,True,3,168070,175,False,True,False
9,Malware,Physical,Misconfiguration,Desktop,False,False,19,920062,238,False,False,False
6,Data Leak,Network,Misconfiguration,Mobile,True,False,22,878767,39,True,False,True
16,Malware,Web,Zero-day,Server,True,True,47,651304,64,False,False,True
3,Malware,Web,Misconfiguration,Desktop,True,False,20,489118,61,True,False,False
20,Phishing,Physical,Known,Desktop,False,False,7,444106,136,True,True,False
4,SQL Injection,Network,Zero-day,Mobile,True,True,4,339542,200,True,True,False
19,SQL Injection,Web,Known,Mobile,False,True,1,951350,114,True,False,True
3,Malware,Physical,Misconfiguration,Server,True,False,41,928476,80,False,False,False
19,Phishing,Insider,Zero-day,Desktop,True,False,7,790595,221,True,True,True
20,Phishing,Email,Known,Server,True,True,22,560243,27,True,False,True
7,Phishing,Network,Known,Server,False,False,37,878568,184,False,False,False
20,Data Leak,Web,Known,Mobile,False,True,30,181490,29,False,True,True
9,Malware,Email,Known,Server,True,True,9,188442,20,False,True,False
1,Data Leak,Physical,Known,IoT,True,True,27,959692,99,True,True,True
8,Phishing,Web,Misconfiguration,Server,False,False,38,559448,56,True,False,True
7,Phishing,Email,Misconfiguration,Desktop,False,True,23,834985,232,True,True,False
18,Phishing,Insider,Misconfiguration,Server,False,True,12,839188,177,False,False,True
8,SQL Injection,Network,Misconfiguration,IoT,False,True,13,956490,96,True,True,True
1,Malware,Physical,Misconfiguration,IoT,True,True,33,885204,20,True,True,False
11,SQL Injection,Web,Misconfiguration,Desktop,True,False,15,45103,92,True,True,False
18,Data Leak,Insider,Misconfiguration,Desktop,True,True,16,832262,160,False,False,True
23,SQL Injection,Network,Known,Server,False,True,34,542268,57,True,False,False
10,Malware,Network,Misconfiguration,IoT,False,True,9,489628,162,True,False,False
3,SQL Injection,Insider,Known,IoT,True,False,42,339860,221,False,False,False
7,Phishing,Web,Zero-day,Server,True,False,27,354090,195,False,True,True
16,Data Leak,Network,Misconfiguration,Desktop,True,True,15,665280,123,False,True,False
16,Data Leak,Physical,Known,IoT,True,True,35,631568,62,False,False,True
20,Phishing,Email,Zero-day,Server,True,True,34,818307,169,True,True,True
17,Phishing,Physical,Zero-day,Desktop,False,True,40,885669,230,True,True,False
2,Phishing,Network,Known,Server,True,False,30,225091,90,True,True,False
1,Malware,Email,Known,Desktop,False,True,23,248681,143,True,True,False
16,SQL Injection,Insider,Known,Desktop,False,False,9,276271,133,True,False,True
12,Data Leak,Email,Misconfiguration,IoT,False,True,32,560680,28,True,False,True
5,SQL Injection,Email,Zero-day,Mobile,True,False,35,845692,174,False,False,False
5,Phishing,Email,Misconfiguration,IoT,False,False,32,796278,81,True,True,False
23,Phishing,Network,Misconfiguration,Server,True,False,45,871326,24,False,True,True
9,SQL Injection,Web,Misconfiguration,Desktop,True,False,16,95599,168,True,False,True
9,Data Leak,Network,Zero-day,IoT,False,False,32,948559,237,True,True,False
3,Malware,Web,Zero-day,Desktop,True,False,25,713021,88,False,False,False
19,SQL Injection,Insider,Zero-day,IoT,False,True,30,393934,79,False,True,False
16,Phishing,Insider,Known,Server,True,False,37,741371,192,False,False,False
16,Phishing,Insider,Misconfiguration,Server,True,False,37,42292,191,True,False,False
3,Malware,Insider,Known,Server,False,True,35,650407,46,False,False,True
20,SQL Injection,Insider,Known,IoT,False,False,45,637249,97,False,False,False
22,Malware,Physical,Misconfiguration,Mobile,True,True,8,255246,79,True,False,False
1,Malware,Network,Zero-day,Server,False,False,40,228462,40,False,True,True
20,Data Leak,Web,Misconfiguration,IoT,False,False,47,525216,211,True,False,False
11,Data Leak,Insider,Known,Mobile,True,False,36,867506,168,False,False,False
17,Phishing,Physical,Zero-day,IoT,False,True,25,823942,79,False,True,True
8,SQL Injection,Physical,Zero-day,IoT,False,False,18,623241,236,False,False,True
4,Data Leak,Physical,Known,Server,True,False,39,748210,154,False,True,False
6,Phishing,Network,Zero-day,Mobile,False,True,10,142399,50,False,False,False
8,SQL Injection,Insider,Zero-day,IoT,True,False,1,11584,166,False,False,False
20,Phishing,Physical,Misconfiguration,IoT,False,False,4,118298,184,True,True,True
3,Data Leak,Physical,Misconfiguration,IoT,True,False,26,400031,69,False,True,True
16,Phishing,Insider,Known,IoT,False,True,11,385864,197,True,True,True
3,SQL Injection,Network,Known,Server,True,False,15,135940,103,True,False,True
18,SQL Injection,Physical,Known,IoT,True,False,32,787681,22,False,True,True
14,Phishing,Web,Zero-day,Mobile,True,False,15,179494,218,False,False,True
18,SQL Injection,Email,Known,Desktop,False,False,28,58044,203,True,False,True
2,Phishing,Email,Misconfiguration,Mobile,True,True,23,721368,41,False,True,False
22,SQL Injection,Email,Zero-day,IoT,True,False,3,376072,218,True,False,False
3,Phishing,Network,Known,IoT,False,False,32,645101,205,True,True,True
16,Phishing,Physical,Zero-day,Mobile,True,True,20,308748,142,True,False,True
9,Phishing,Email,Zero-day,Desktop,True,False,14,537244,174,False,True,True
4,Malware,Email,Zero-day,Server,True,True,35,113897,74,False,False,False
1,SQL Injection,Insider,Known,Desktop,True,True,40,636497,177,False,False,True
4,Data Leak,Physical,Zero-day,Desktop,False,True,42,824517,158,True,True,True
1,Phishing,Physical,Zero-day,Desktop,False,True,9,646432,178,True,True,True
14,Malware,Insider,Zero-day,Mobile,False,False,47,300355,70,False,False,False
21,Data Leak,Physical,Misconfiguration,Desktop,True,False,24,884551,172,True,True,False
16,Phishing,Web,Known,Server,False,False,41,163420,139,True,False,False
20,Data Leak,Network,Misconfiguration,IoT,True,False,4,501402,46,False,True,False
8,Malware,Insider,Zero-day,Mobile,True,True,12,56386,93,True,False,True
7,Data Leak,Email,Zero-day,Mobile,False,False,24,517006,35,False,True,False
3,Phishing,Physical,Misconfiguration,Desktop,True,True,1,426621,70,True,True,False
17,Data Leak,Web,Zero-day,IoT,True,False,14,955190,182,True,True,True
1,Data Leak,Web,Misconfiguration,IoT,False,False,31,17677,107,False,True,True
16,Phishing,Network,Zero-day,IoT,False,True,10,740519,68,True,True,True
12,Malware,Web,Zero-day,Mobile,True,False,33,803340,172,True,False,True
19,Malware,Physical,Zero-day,Server,True,False,36,389195,231,False,False,True
22,Data Leak,Physical,Zero-day,IoT,True,True,42,315149,34,True,False,False
23,SQL Injection,Web,Known,Mobile,True,False,35,963374,216,True,True,True
22,Data Leak,Physical,Known,Desktop,False,False,18,25606,237,True,False,True
14,SQL Injection,Physical,Known,IoT,False,False,25,492307,143,False,True,True
6,Data Leak,Email,Misconfiguration,Desktop,True,True,12,718405,88,True,True,False
6,Malware,Insider,Misconfiguration,IoT,False,False,28,808693,160,False,True,False
13,Data Leak,Physical,Misconfiguration,Desktop,True,True,9,940511,127,True,True,True
19,Data Leak,Physical,Misconfiguration,Mobile,False,True,24,25574,199,False,True,True
22,SQL Injection,Network,Known,Desktop,False,False,20,956489,73,True,True,False
8,Malware,Insider,Misconfiguration,Mobile,True,False,26,726043,142,True,False,True
2,SQL Injection,Insider,Misconfiguration,Desktop,False,True,5,441794,142,False,True,True
21,Data Leak,Insider,Misconfiguration,Desktop,True,False,27,680254,155,False,True,False
1,Phishing,Web,Zero-day,Desktop,False,False,28,195498,46,False,False,True
15,Data Leak,Email,Misconfiguration,IoT,False,True,37,979820,228,True,False,True
1,Data Leak,Email,Zero-day,Server,True,False,40,872209,84,True,True,True
5,SQL Injection,Network,Misconfiguration,Server,False,False,7,972101,175,False,False,True
16,Phishing,Insider,Misconfiguration,IoT,False,True,19,668142,207,True,False,False
19,Phishing,Insider,Zero-day,Desktop,True,True,22,554960,17,False,True,True
4,SQL Injection,Physical,Misconfiguration,Desktop,False,False,18,361120,147,True,False,True
3,Malware,Web,Zero-day,IoT,False,False,15,498893,128,False,True,True
17,Phishing,Web,Misconfiguration,Mobile,True,True,33,435889,233,False,False,False
17,Phishing,Network,Misconfiguration,Mobile,True,False,39,664083,26,True,True,True
12,SQL Injection,Email,Zero-day,IoT,False,True,5,214601,47,True,False,True
14,Malware,Insider,Known,Server,False,False,40,684964,41,False,True,False
21,Malware,Network,Zero-day,Mobile,True,False,37,608712,127,False,False,False
6,Data Leak,Web,Known,IoT,True,True,5,536711,139,True,False,True
3,Data Leak,Web,Zero-day,Mobile,False,False,37,63302,27,False,True,False
9,SQL Injection,Web,Known,IoT,False,True,43,350595,124,False,False,False
5,Malware,Insider,Misconfiguration,Mobile,True,False,7,695659,137,True,False,False
17,SQL Injection,Insider,Known,Mobile,False,False,2,550518,217,False,True,False
14,Data Leak,Insider,Misconfiguration,IoT,False,True,30,416745,217,True,True,False
21,SQL Injection,Physical,Zero-day,Server,True,True,11,118627,178,True,False,True
3,SQL Injection,Email,Known,Server,False,True,37,263294,119,True,False,False
1,Phishing,Web,Misconfiguration,Mobile,False,True,39,273314,200,True,True,True
20,Phishing,Web,Zero-day,Mobile,True,False,33,455166,78,False,True,True
21,Phishing,Physical,Known,Server,False,True,9,684746,192,False,False,False
23,Data Leak,Web,Misconfiguration,IoT,False,True,11,27393,136,True,False,False
1,SQL Injection,Web,Known,Desktop,True,True,12,124632,193,False,True,True
3,Phishing,Insider,Known,Mobile,True,True,10,631177,146,True,True,True
18,Phishing,Insider,Misconfiguration,Desktop,True,False,11,875124,58,True,False,False
10,Phishing,Email,Misconfiguration,Mobile,False,True,33,755855,32,False,False,True
22,Data Leak,Web,Zero-day,Server,False,True,20,308827,32,False,False,False
3,Data Leak,Network,Misconfiguration,IoT,False,False,5,438170,234,True,True,False
8,SQL Injection,Web,Misconfiguration,Mobile,False,False,47,106481,20,True,False,False
14,SQL Injection,Web,Known,Desktop,True,True,24,913038,201,True,True,True
18,SQL Injection,Email,Misconfiguration,Server,True,False,32,520769,205,True,True,True
15,Phishing,Network,Known,Mobile,True,False,31,137067,57,False,True,True
22,Malware,Web,Known,IoT,False,True,42,692537,211,True,False,True
23,Data Leak,Network,Misconfiguration,Mobile,True,True,44,674634,217,False,False,False
2,Phishing,Insider,Misconfiguration,IoT,False,True,14,754774,211,True,True,False
10,Phishing,Insider,Misconfiguration,IoT,False,True,19,842907,23,True,False,False
2,SQL Injection,Network,Misconfiguration,Server,False,True,42,313272,165,True,False,True
17,SQL Injection,Web,Zero-day,Mobile,True,False,24,651935,25,True,True,True
8,Phishing,Network,Known,IoT,False,True,32,43394,203,False,False,False
1,Data Leak,Network,Zero-day,Server,False,False,12,664303,93,True,True,False
9,Data Leak,Insider,Zero-day,Mobile,True,False,21,185500,231,True,False,False
